train/ent_coef,time/fps,time/episodes,train/critic_loss,time/total_timesteps,train/learning_rate,train/ent_coef_loss,time/time_elapsed,train/n_updates,train/actor_loss
0.3547855019569397,30,4,3.759397268295288,11376,0.0001,-61.72776794433594,367,10375,-578.2308349609375
0.11405055224895477,30,8,1.0174205303192139,22752,0.0001,-125.27146911621094,746,21751,-529.4698486328125
0.036755915731191635,30,12,0.23077790439128876,34128,0.0001,-181.66043090820312,1131,33127,-360.7260437011719
0.011902987025678158,30,16,1.2010583877563477,45504,0.0001,-217.04757690429688,1515,44503,-223.9622802734375
0.003898313734680414,29,20,0.5085312128067017,56880,0.0001,-248.92782592773438,1896,55879,-134.429443359375
0.0013147665886208415,29,24,4.542063236236572,68256,0.0001,-213.20269775390625,2282,67255,-79.66780090332031
0.0004683424485847354,29,28,2.824918746948242,79632,0.0001,-140.08041381835938,2659,78631,-47.33613586425781
0.00020997920364607126,29,32,0.1331736445426941,91008,0.0001,-39.69465255737305,3045,90007,-28.544410705566406
9.689059515949339e-05,29,36,0.02167384885251522,102384,0.0001,24.76428985595703,3434,101383,-16.419466018676758
6.489306542789564e-05,29,40,0.016058020293712616,113760,0.0001,-148.84437561035156,3826,112759,-9.467903137207031
3.1185303669190034e-05,29,44,0.006152781192213297,125136,0.0001,82.92814636230469,4201,124135,-5.467119216918945
1.7409985957783647e-05,29,48,0.002487192628905177,136512,0.0001,-179.14852905273438,4582,135511,-3.1696906089782715
5.949566457275068e-06,29,52,0.0007521226652897894,147888,0.0001,-163.51992797851562,4966,146887,-1.7753229141235352
